,source,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5248,city scrape,35.0,2.0,1.0,1.0,1.0,349.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,17,40,70,250,2.3,0.8,0.0,4.41,4.52,16.0,4.0,12.0,0.0,0.6
5249,city scrape,111.0,2.0,1.0,1.0,1.0,920.0,30.0,180.0,1.0,30.0,180.0,180.0,29.0,180.0,4,23,53,154,1.0,1.0,0.0,4.7,4.0,66.0,20.0,46.0,0.0,0.13
5250,city scrape,111.0,2.0,1.0,1.0,1.0,706.0,30.0,200.0,1.0,30.0,200.0,200.0,28.9,200.0,1,10,21,122,5.0,5.0,0.0,4.8,4.6,66.0,20.0,46.0,0.0,0.54
5251,city scrape,3.0,2.0,1.0,1.0,2.0,1400.0,2.0,24.0,1.0,2.0,24.0,24.0,2.0,24.0,2,2,4,14,2.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.19
5252,city scrape,4.0,2.0,1.0,1.0,2.0,1357.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,21,45,75,255,17.0,0.8,0.0,4.88,4.88,2.0,2.0,0.0,0.0,1.73
5253,city scrape,1.0,2.0,1.0,1.0,1.3,603.5,5.0,90.0,5.0,5.0,90.0,90.0,5.0,90.0,22,22,22,189,1.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.25
5254,city scrape,203.0,3.0,1.0,1.0,2.0,603.5,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,29,59,89,269,0.0,0.0,0.0,4.0,4.18,183.0,7.7,51.0,0.0,1.06
5255,previous scrape,1.0,2.0,1.0,1.0,0.0,1566.0,1.0,30.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,0.0,0.0,0.0,4.0,4.18,1.0,1.0,0.0,0.0,1.06
5256,city scrape,203.0,2.0,1.0,1.0,0.0,1566.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,29,59,89,269,0.0,0.0,0.0,4.0,4.18,183.0,7.7,51.0,0.0,1.06
5257,city scrape,43.0,4.0,1.0,1.0,1.3,800.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,0,19,49,229,11.0,0.8,0.0,4.0,4.18,30.0,2.0,27.0,0.0,1.06
5258,city scrape,1.0,3.0,1.0,1.0,2.0,720.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,20,50,80,355,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.21
5259,previous scrape,52.0,1.0,1.0,1.0,1.3,651.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,30,60,90,196,2.0,2.0,0.0,5.0,5.0,28.0,1.0,27.0,0.0,0.21
5260,city scrape,43.0,4.0,1.0,1.0,1.3,651.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,5,35,65,65,10.0,0.8,0.0,4.3,4.4,30.0,2.0,27.0,0.0,0.96
5261,city scrape,82.0,1.0,1.0,1.0,1.0,272.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,5.0,5.0,79.0,9.0,70.0,0.0,0.46
