,source,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,city scrape,59.0,2.0,1.0,1.0,3.0,1120.0,28.0,1125.0,28.0,28.0,1125.0,1125.0,28.0,1125.0,6,25,55,330,2.3,3.0,0.0,4.47,4.4,6.0,2.0,4.0,0.0,1.92
1,previous scrape,1.0,2.0,1.0,1.0,1.3,603.5,30.0,150.0,30.0,30.0,150.0,150.0,30.0,150.0,0,18,19,19,2.3,0.8,0.0,4.9,4.91,1.0,1.0,0.0,0.0,1.37
2,city scrape,1.0,2.0,1.0,1.0,1.3,603.5,10.0,30.0,10.0,10.0,30.0,30.0,10.0,30.0,28,58,88,363,0.0,0.0,0.0,4.77,4.76,1.0,0.0,1.0,0.0,1.9
3,city scrape,1.0,4.0,1.0,1.0,3.0,1477.0,28.0,365.0,3.0,28.0,365.0,365.0,26.5,365.0,15,28,51,325,2.3,0.8,0.0,4.77,4.76,1.0,1.0,0.0,0.0,1.9
4,city scrape,19.0,2.0,1.0,1.0,3.0,1011.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,23,53,83,358,2.3,0.8,0.0,4.25,4.2,2.0,2.0,0.0,0.0,0.36
5,city scrape,2.0,2.0,1.0,1.0,1.0,973.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,60,90,365,20.0,0.0,0.0,4.89,5.0,1.0,1.0,0.0,0.0,0.13
6,city scrape,1.0,1.0,1.0,1.0,1.0,700.0,2.0,30.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,29,59,89,179,0.0,0.0,0.0,4.71,4.75,1.0,0.0,1.0,0.0,1.97
7,city scrape,1.0,4.0,1.0,1.0,2.0,910.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,10,24,29,294,2.3,0.8,0.0,4.71,4.75,1.0,1.0,0.0,0.0,1.97
8,city scrape,18.0,2.0,1.0,1.0,1.0,720.0,14.8,1125.0,14.3,16.0,1125.0,1125.0,15.2,1125.0,13,13,13,254,5.0,2.0,0.0,5.0,4.8,9.0,9.0,0.0,0.0,0.07
9,city scrape,42.0,2.0,1.0,1.0,1.3,297.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,2.3,0.0,0.0,4.51,4.6,19.0,4.0,5.0,0.0,1.86
10,city scrape,18.0,2.0,1.0,1.0,1.0,650.0,14.8,1125.0,14.3,16.0,1125.0,1125.0,15.2,1125.0,0,0,0,176,11.0,0.0,0.0,5.0,4.8,9.0,9.0,0.0,0.0,0.07
11,city scrape,42.0,2.0,1.0,1.0,1.3,297.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,2.3,0.0,0.0,4.52,4.66,19.0,4.0,5.0,0.0,0.19
12,city scrape,4.0,2.0,1.0,1.0,1.3,603.5,1.0,365.0,1.0,4.0,365.0,365.0,1.0,365.0,28,42,42,42,15.0,1.0,0.0,4.8,4.93,3.0,0.0,0.0,0.0,0.13
13,city scrape,4.0,3.0,1.0,1.0,1.0,1551.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,26,39,39,39,2.3,0.0,0.0,4.74,4.74,3.0,0.0,0.0,0.0,0.36
14,city scrape,4.0,3.0,1.0,1.0,2.0,1137.0,1.0,365.0,1.0,4.0,365.0,365.0,1.0,365.0,27,40,40,40,2.3,1.0,0.0,4.83,4.77,3.0,0.0,0.0,0.0,0.22
15,city scrape,18.0,1.0,1.0,1.0,0.0,460.0,14.8,1125.0,14.3,16.0,1125.0,1125.0,15.2,1125.0,29,59,89,364,13.0,2.0,0.0,4.8,4.85,9.0,9.0,0.0,0.0,0.09
16,city scrape,11.0,1.0,1.0,1.0,1.0,262.0,1.0,1125.0,1.0,1.0,1.0,1125.0,1.0,1084.3,9,9,9,9,2.3,0.8,0.0,4.68,4.61,6.0,0.0,1.0,0.0,1.42
17,city scrape,11.0,2.0,1.0,1.0,1.0,472.0,1.0,1125.0,1.0,1.0,1.0,1125.0,1.0,1114.8,3,3,3,3,2.3,2.0,0.0,4.56,4.72,6.0,0.0,1.0,0.0,0.26
18,city scrape,9.0,2.0,1.0,1.0,2.0,330.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,9,39,69,344,13.0,1.0,0.0,4.17,4.15,6.0,1.0,5.0,0.0,0.09
19,city scrape,26.0,2.0,1.0,1.0,3.0,1161.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,3,16,34,306,2.3,0.8,0.0,4.63,4.57,9.0,9.0,0.0,0.0,0.94
20,city scrape,9.0,2.0,1.0,1.0,2.0,453.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,0,0,2,176,4.0,0.0,0.0,4.67,4.75,6.0,1.0,5.0,0.0,0.03
21,city scrape,9.0,2.0,1.0,1.0,1.0,324.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,1,1,1,266,2.3,0.0,0.0,4.62,4.48,6.0,1.0,5.0,0.0,0.14
22,city scrape,9.0,1.0,1.0,1.0,1.0,291.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,4,4,4,239,2.3,0.0,0.0,4.29,4.56,6.0,1.0,5.0,0.0,0.31
23,city scrape,8.0,1.0,1.0,1.0,1.0,380.0,30.0,1125.0,6.0,30.0,1125.0,1125.0,29.6,1125.0,0,0,0,72,2.3,3.0,0.0,4.74,4.85,1.0,0.0,1.0,0.0,0.27
24,city scrape,1.0,2.0,1.0,1.0,1.3,603.5,14.8,1124.0,14.3,16.0,1124.0,1124.0,15.2,1124.0,0,0,0,143,5.0,0.0,0.0,5.0,4.8,1.0,1.0,0.0,0.0,0.03
25,city scrape,3.0,2.0,1.0,1.0,2.0,1031.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,5,24,54,329,2.3,7.0,0.0,4.81,4.88,1.0,1.0,0.0,0.0,0.35
26,city scrape,35.0,2.0,1.0,1.0,1.0,856.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,6,23,53,328,2.3,0.8,0.0,4.47,4.42,30.0,30.0,0.0,0.0,0.69
27,city scrape,1.0,3.0,1.0,1.0,1.0,971.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,7,7,7,7,2.3,0.8,0.0,4.56,4.63,1.0,1.0,0.0,0.0,0.83
28,previous scrape,7.0,4.0,1.0,1.0,1.0,943.0,14.8,180.0,14.3,16.0,180.0,180.0,15.2,180.0,29,59,89,89,1.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,0.04
29,previous scrape,7.0,4.0,1.0,1.0,1.0,943.0,14.8,180.0,14.3,16.0,180.0,180.0,15.2,180.0,23,53,83,83,1.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,0.01
30,city scrape,35.0,2.0,1.0,1.0,1.0,943.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,2.3,7.0,0.0,4.31,4.41,30.0,30.0,0.0,0.0,0.3
31,city scrape,507.0,1.0,1.0,1.0,1.0,217.0,30.0,730.0,30.0,30.0,730.0,730.0,30.0,730.0,29,59,89,364,2.0,0.0,0.0,4.0,4.0,66.6,12.0,37.4,0.0,0.01
32,city scrape,507.0,2.0,1.0,1.0,1.0,180.0,30.0,730.0,30.0,30.0,730.0,730.0,30.0,730.0,0,0,22,297,1.0,0.0,0.0,5.0,4.7,66.6,12.0,37.4,0.0,0.01
33,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,730.0,30.0,30.0,730.0,730.0,30.0,730.0,30,60,90,365,0.0,0.0,0.0,4.5,5.0,66.6,12.0,37.4,0.0,0.02
34,city scrape,507.0,1.0,1.0,1.0,1.0,140.0,31.0,1125.0,31.0,31.0,1125.0,1125.0,31.0,1125.0,29,59,89,364,0.0,0.0,0.0,4.5,5.0,66.6,12.0,37.4,0.0,0.02
35,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,29.0,730.0,29.0,29.0,730.0,730.0,29.0,730.0,30,60,90,365,2.0,0.0,0.0,4.5,5.0,66.6,12.0,37.4,0.0,0.02
36,city scrape,10.0,2.0,1.0,1.0,2.0,1259.0,5.0,360.0,1.0,5.0,1125.0,1125.0,4.9,1125.0,9,25,47,187,2.3,0.8,0.0,4.76,4.81,5.0,5.0,0.0,0.0,0.6
37,city scrape,5.0,3.0,1.0,1.0,2.0,1277.0,3.0,120.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,6,6,13,136,2.3,0.8,0.0,4.72,4.71,2.0,1.0,1.0,0.0,0.68
38,city scrape,5.0,1.0,1.0,1.0,1.0,714.0,6.0,45.0,5.0,6.0,45.0,45.0,6.0,45.0,10,33,58,58,7.0,2.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,0.05
39,city scrape,1.0,2.0,1.0,1.0,1.0,770.0,2.0,1125.0,2.0,5.0,1125.0,1125.0,2.4,1125.0,24,50,74,349,2.3,4.0,0.0,4.6,4.7,1.0,1.0,0.0,0.0,0.31
40,city scrape,9.0,2.0,1.0,1.0,1.3,957.0,28.0,180.0,28.0,28.0,180.0,180.0,28.0,180.0,0,1,3,179,1.0,0.0,0.0,4.7,5.0,6.0,1.0,5.0,0.0,0.01
41,city scrape,6.0,3.0,1.0,1.0,2.0,651.0,6.0,350.0,6.0,6.0,350.0,350.0,6.0,350.0,20,40,70,70,2.3,0.8,0.0,4.59,4.66,2.0,2.0,0.0,0.0,1.22
42,previous scrape,507.0,1.0,1.0,1.0,1.0,600.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,2.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.02
43,city scrape,1.0,1.0,1.0,1.0,1.0,600.0,1.0,30.0,1.0,1.0,30.0,30.0,1.0,30.0,30,60,90,365,2.3,0.0,0.0,4.81,4.77,1.0,0.0,1.0,0.0,0.46
44,city scrape,2.0,3.0,1.0,1.0,1.0,1054.0,2.0,60.0,2.0,2.0,60.0,60.0,2.0,60.0,9,39,69,69,2.3,3.0,0.0,4.63,4.75,1.0,1.0,0.0,0.0,1.44
45,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,1.0,0.0,0.0,5.0,4.7,66.6,12.0,37.4,0.0,0.01
46,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,31.0,365.0,31.0,31.0,365.0,365.0,31.0,365.0,30,60,90,365,1.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
47,city scrape,12.0,2.0,1.0,1.0,3.0,1857.0,30.0,90.0,30.0,30.0,90.0,90.0,30.0,90.0,10,10,10,275,0.0,0.0,0.0,4.0,3.75,3.0,3.0,0.0,0.0,0.03
48,previous scrape,507.0,2.0,1.0,1.0,1.3,603.5,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.0,3.75,66.6,12.0,37.4,0.0,0.03
49,city scrape,12.0,2.0,1.0,1.0,1.3,603.5,30.0,600.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,4.0,0.0,0.0,4.0,3.75,3.0,3.0,0.0,0.0,0.03
50,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.63,4.7,66.6,12.0,37.4,0.0,1.33
51,previous scrape,507.0,1.0,1.0,1.0,1.0,180.0,29.0,1125.0,29.0,29.0,1125.0,1125.0,29.0,1125.0,29,59,89,364,0.0,0.0,0.0,4.63,4.7,66.6,12.0,37.4,0.0,1.33
52,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,60.0,1125.0,60.0,60.0,1125.0,1125.0,60.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.63,4.7,66.6,12.0,37.4,0.0,1.33
53,city scrape,5.0,2.0,1.0,1.0,1.0,939.0,2.0,90.0,2.0,5.0,1125.0,1125.0,2.0,1125.0,14,17,38,120,2.3,0.8,0.0,4.63,4.7,1.0,1.0,0.0,0.0,1.33
54,previous scrape,507.0,1.0,1.0,1.0,2.0,397.0,31.0,180.0,31.0,31.0,180.0,180.0,31.0,180.0,30,60,90,365,2.0,0.0,0.0,4.7,4.5,66.6,12.0,37.4,0.0,0.02
55,city scrape,15.0,2.0,1.0,1.0,2.0,397.0,2.0,11.0,1.0,3.0,1125.0,1125.0,2.0,1125.0,19,49,79,87,2.3,5.0,0.0,4.52,4.7,12.0,0.0,12.0,0.0,0.97
56,previous scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,2.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
57,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,0.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
58,city scrape,507.0,2.0,1.0,1.0,2.0,217.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
59,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
60,city scrape,507.0,1.0,1.0,1.0,1.0,160.0,29.0,1125.0,29.0,29.0,1125.0,1125.0,29.0,1125.0,29,59,89,364,0.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
61,previous scrape,507.0,1.0,1.0,1.0,1.0,600.0,31.0,90.0,31.0,31.0,90.0,90.0,31.0,90.0,29,59,89,364,1.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
62,city scrape,4.0,4.0,1.0,1.0,1.0,600.0,7.0,30.0,7.0,7.0,30.0,30.0,7.0,30.0,18,23,48,322,2.3,2.0,0.0,4.5,4.56,1.0,1.0,0.0,0.0,0.24
63,city scrape,507.0,1.0,1.0,1.0,2.0,620.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,0.0,0.0,0.0,5.0,4.83,66.6,12.0,37.4,0.0,0.04
64,city scrape,1.0,2.0,1.0,1.0,1.0,800.0,7.0,120.0,7.0,7.0,120.0,120.0,7.0,120.0,0,0,0,265,6.0,0.0,0.0,5.0,4.83,1.0,1.0,0.0,0.0,0.04
65,city scrape,6.0,2.0,1.0,1.0,3.0,603.5,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,20,31,31,267,0.0,0.0,0.0,4.71,4.71,4.0,4.0,0.0,0.0,0.89
66,city scrape,1.0,2.0,1.0,1.0,3.0,603.5,3.0,365.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,9,34,64,244,7.0,7.0,0.0,4.71,4.71,1.0,1.0,0.0,0.0,0.89
67,city scrape,2.0,4.0,1.0,1.0,3.0,685.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,29,59,89,363,2.0,0.0,0.0,4.7,4.7,1.0,0.0,1.0,0.0,0.08
68,city scrape,4.0,4.0,1.0,1.0,1.0,400.0,1.0,28.0,1.0,1.0,28.0,28.0,1.0,28.0,26,56,86,361,7.0,1.0,0.0,4.43,4.43,1.0,0.0,1.0,0.0,0.05
69,city scrape,507.0,2.0,1.0,1.0,1.0,230.0,30.0,180.0,30.0,30.0,180.0,180.0,30.0,180.0,30,60,90,365,2.0,0.0,0.0,4.5,4.5,66.6,12.0,37.4,0.0,0.01
70,city scrape,7.0,4.0,1.0,1.0,2.0,1151.0,14.8,365.0,14.3,16.0,1125.0,1125.0,15.2,1125.0,0,0,0,151,0.0,0.0,0.0,4.7,4.7,3.0,3.0,0.0,0.0,0.01
71,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,180.0,30.0,30.0,180.0,180.0,30.0,180.0,30,60,90,365,1.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
72,city scrape,6.0,3.0,1.0,1.0,2.0,647.0,20.0,275.0,20.0,20.0,275.0,275.0,20.0,275.0,30,60,90,90,2.3,0.0,0.0,4.52,4.58,2.0,2.0,0.0,0.0,0.67
73,city scrape,13.0,2.0,1.0,1.0,3.0,1850.0,28.0,200.0,4.0,28.0,200.0,200.0,27.1,200.0,21,51,81,261,2.3,1.0,0.0,4.68,4.8,1.0,1.0,0.0,0.0,0.46
74,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,700.0,30.0,30.0,700.0,700.0,30.0,700.0,30,60,90,365,1.0,0.0,0.0,4.0,4.0,66.6,12.0,37.4,0.0,0.01
75,previous scrape,507.0,1.0,1.0,1.0,1.3,1200.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,0.0,0.0,0.0,4.62,4.56,66.6,12.0,37.4,0.0,0.41
76,city scrape,71.0,2.0,1.0,1.0,1.3,1200.0,28.0,1124.0,28.0,28.0,1124.0,1124.0,28.0,1124.0,29,59,89,179,2.3,0.0,0.0,4.62,4.56,65.0,7.7,0.0,0.0,0.41
77,city scrape,507.0,2.0,1.0,1.0,1.0,180.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,1.0,0.0,0.0,5.0,5.0,66.6,12.0,37.4,0.0,0.01
78,city scrape,4.0,4.0,1.0,1.0,2.0,835.0,7.0,1125.0,7.0,7.0,1125.0,1125.0,7.0,1125.0,13,36,66,231,2.3,0.8,0.0,4.71,4.71,1.0,1.0,0.0,0.0,0.34
79,city scrape,10.0,2.0,1.0,1.0,3.0,1337.0,5.0,360.0,1.0,7.0,1125.0,1125.0,4.8,1125.0,5,22,27,170,2.3,0.8,0.0,4.84,4.86,5.0,5.0,0.0,0.0,0.6
80,previous scrape,17.0,2.0,1.0,1.0,1.0,160.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,28,58,88,363,0.0,0.0,0.0,5.0,5.0,12.0,0.0,12.0,0.0,0.01
81,city scrape,507.0,2.0,1.0,1.0,1.0,160.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,1.0,0.0,0.0,5.0,5.0,66.6,12.0,37.4,0.0,0.01
82,city scrape,1.0,1.0,1.0,1.0,1.0,900.0,5.0,30.0,5.0,5.0,30.0,30.0,5.0,30.0,23,53,83,358,0.0,0.0,0.0,4.89,4.9,1.0,0.0,1.0,0.0,0.6
83,city scrape,10.0,2.0,1.0,1.0,3.0,1761.0,5.0,360.0,1.0,5.0,1125.0,1125.0,4.8,1125.0,6,15,23,236,2.3,0.8,0.0,4.89,4.9,5.0,5.0,0.0,0.0,0.6
84,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,0.0,0.0,0.0,4.08,4.16,66.6,12.0,37.4,0.0,0.78
85,city scrape,128.0,2.0,1.0,1.0,2.0,603.5,1.0,365.0,1.0,3.0,365.0,365.0,1.1,365.0,18,45,75,350,2.3,0.8,0.0,4.08,4.16,88.0,7.0,81.0,0.0,0.78
86,city scrape,4.0,4.0,1.0,1.0,1.3,961.0,2.0,680.0,1.0,2.0,680.0,680.0,2.0,680.0,2,7,33,290,2.3,0.8,0.0,4.82,4.82,1.0,1.0,0.0,0.0,0.6
87,city scrape,507.0,1.0,1.0,1.0,2.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,1.0,0.0,0.0,4.0,4.0,66.6,12.0,37.4,0.0,0.01
88,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,0.0,0.0,0.0,4.51,4.53,66.6,12.0,37.4,0.0,0.73
89,city scrape,507.0,2.0,1.0,1.0,1.0,217.0,30.0,400.0,30.0,30.0,400.0,400.0,30.0,400.0,30,60,90,365,0.0,0.0,0.0,4.51,4.53,66.6,12.0,37.4,0.0,0.73
90,city scrape,5.0,2.0,1.0,1.0,1.3,1903.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,13,33,57,327,2.3,7.0,0.0,4.51,4.53,2.0,2.0,0.0,0.0,0.73
91,city scrape,5.0,2.0,1.0,1.0,3.0,905.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,13,36,66,341,2.3,0.8,0.0,4.51,4.58,2.0,2.0,0.0,0.0,2.09
92,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
93,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,1.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
94,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,0.0,0.0,0.0,4.56,4.33,66.6,12.0,37.4,0.0,0.07
95,city scrape,1.0,1.0,1.0,1.0,1.0,800.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,9.0,1.0,0.0,4.56,4.33,1.0,0.0,1.0,0.0,0.07
96,previous scrape,5.0,4.0,1.0,1.0,1.0,1210.0,16.0,180.0,16.0,16.0,180.0,180.0,16.0,180.0,15,45,75,75,2.3,0.0,0.0,4.94,4.9,3.0,3.0,0.0,0.0,0.68
97,city scrape,11.0,2.0,1.0,1.0,1.0,1210.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,14,289,15.0,0.0,0.0,4.33,4.07,4.0,0.0,4.0,0.0,0.13
98,city scrape,11.0,2.0,1.0,1.0,1.0,968.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,2.3,0.0,0.0,4.43,4.58,4.0,0.0,4.0,0.0,0.32
99,city scrape,129.0,2.0,1.0,1.0,1.0,378.0,60.0,1125.0,60.0,60.0,1125.0,1125.0,60.0,1125.0,29,59,89,364,6.0,0.0,0.0,4.5,4.83,124.0,7.7,11.0,0.0,0.05
100,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,400.0,30.0,30.0,400.0,400.0,30.0,400.0,30,60,90,365,0.0,0.0,0.0,5.0,5.0,66.6,12.0,37.4,0.0,0.02
101,previous scrape,16.0,2.0,1.0,1.0,1.0,333.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.02
102,city scrape,129.0,2.0,1.0,1.0,1.0,333.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,23,53,328,2.3,0.0,0.0,4.3,4.4,124.0,7.7,11.0,0.0,0.34
103,city scrape,129.0,2.0,1.0,1.0,2.0,468.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,2.3,0.0,0.0,4.14,4.33,124.0,7.7,11.0,0.0,0.22
104,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,180.0,30.0,30.0,180.0,180.0,30.0,180.0,30,60,90,365,0.0,0.0,0.0,4.0,4.0,66.6,12.0,37.4,0.0,0.02
105,city scrape,507.0,2.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,2.0,0.0,0.0,4.0,4.0,66.6,12.0,37.4,0.0,0.02
106,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,31.0,1125.0,31.0,31.0,1125.0,1125.0,31.0,1125.0,30,60,90,365,1.0,0.0,0.0,5.0,5.0,66.6,12.0,37.4,0.0,0.01
107,city scrape,507.0,1.0,1.0,1.0,1.0,180.0,30.0,180.0,30.0,30.0,180.0,180.0,30.0,180.0,30,60,90,365,0.0,0.0,0.0,4.0,4.7,66.6,12.0,37.4,0.0,0.01
108,city scrape,11.0,2.0,1.0,1.0,1.0,671.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,23,51,81,356,0.0,0.0,0.0,4.0,4.7,4.0,0.0,4.0,0.0,0.01
109,city scrape,11.0,2.0,1.0,1.0,1.0,1430.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,0.0,0.0,0.0,4.0,4.7,4.0,0.0,4.0,0.0,0.01
110,previous scrape,507.0,1.0,1.0,1.0,1.0,174.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.0,4.7,66.6,12.0,37.4,0.0,0.01
111,previous scrape,507.0,2.0,1.0,1.0,1.0,174.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,1.0,0.0,0.0,4.0,4.7,66.6,12.0,37.4,0.0,0.01
112,previous scrape,507.0,1.0,1.0,1.0,1.0,174.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
113,city scrape,507.0,1.0,1.0,1.0,1.0,174.0,30.0,180.0,30.0,30.0,180.0,180.0,30.0,180.0,30,60,90,365,0.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
114,city scrape,507.0,2.0,1.0,1.0,1.0,180.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,1.0,0.0,0.0,4.7,4.7,66.6,12.0,37.4,0.0,0.01
115,city scrape,2.0,2.0,1.0,1.0,1.3,1214.0,3.0,360.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,1,2,11,49,2.3,0.8,0.0,4.77,4.84,1.0,1.0,0.0,0.0,1.85
116,city scrape,7.0,2.0,1.0,1.0,1.3,1985.0,2.0,1000.0,1.0,2.0,1000.0,1000.0,2.0,1000.0,11,24,38,295,19.0,5.0,0.0,4.37,4.5,7.0,7.0,0.0,0.0,0.15
117,previous scrape,507.0,2.0,1.0,1.0,1.0,420.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,0.0,0.0,0.0,4.52,4.56,66.6,12.0,37.4,0.0,0.42
118,city scrape,59.0,2.0,1.0,1.0,1.0,420.0,28.0,360.0,28.0,28.0,360.0,360.0,28.0,360.0,30,60,90,365,2.3,0.0,0.0,4.52,4.56,6.0,2.0,4.0,0.0,0.42
119,city scrape,59.0,2.0,1.0,1.0,1.0,392.0,28.0,360.0,28.0,28.0,360.0,360.0,28.0,360.0,30,60,90,365,2.3,0.0,0.0,4.63,4.67,6.0,2.0,4.0,0.0,0.19
120,city scrape,59.0,2.0,1.0,1.0,1.0,350.0,28.0,360.0,28.0,28.0,360.0,360.0,28.0,360.0,0,0,0,266,12.0,0.0,0.0,4.42,4.58,6.0,2.0,4.0,0.0,0.1
